R28045	P15259	R27853
R54739	P15068	L107070
R26389	P27	L52277
R67394	P33141	L234457
R26933	METHOD	R26776
R6881	P5071	L5526
R25297	P32	R25259
R60667	P33138	L154087
R70531	P27	L242333
R65211	P33148	L208268
R28467	P26	L241135
R66662	P33151	L225683
R26420	P32	R26378
R56455	P27030	L115333
R61506	P33130	L164147
R65664	P33144	L213700
R57163	P27	L121829
R10014	HAS_ORCID	L10053
R54497	P29012	L104667
R31098	P15072	L62282
R70153	P18057	R51226
R62264	P33139	L173252
R52002	P27030	L95011
R61601	P33140	L165297
R38940	P18092	L76728
R50412	P27	L92502
R66848	P33152	L227916
R60686	P33129	L154306
R65006	P33144	L205804
R61878	P33131	L168612
R63814	P33147	L191524
R54617	P15068	L105845
R27620	compareContribution	R27576
R30437	P15341	R29372
R62350	P33132	L174277
R26379	P26	L52232
R61479	P33130	L163823
R60166	P4008	R60173
R50008	P28	L92029
R33782	P15603	L70795
R64311	P33148	L197489
R58502	P33046	L132394
R69627	P34081	R69625
R28599	P26	L240414
R58283	P2005	R58159
R57916	P28	L127877
R60413	P2005	R60165
R45036	P31	R45040
R57479	P33024	R57507
R67124	P33148	L231224
R30893	P15387	R30824
R57745	P27	L125973
R64158	P33149	L195654
R66545	P33149	L224277
R67126	P33141	L231241
R30620	P27	L61270
R57303	P31	R57304
R32117	P31	R32118
R56672	P30	R50
R27978	P27	L56325
R59145	P33044	L138822
R69610	P34080	R69575
R60205	P33138	L148543
R60890	P33135	L156760
R48104	HAS_VALUE	L89192
R52118	P29	L95956
R70703	PROCESS	R70704
R57763	P27	L126176
R52038	P29	L95302
R46072	P26	L86027
R49048	HAS_ORCID	L90076
R66070	P33149	L218577
R49075	P26009	L90126
R59391	P33047	L141285
R64312	P33144	L197497
R56401	P9040	L114893
R61910	P33136	L169001
R69177	P27	L239335
R66235	P33145	L220553
R66680	P33149	L225897
R32249	P15510	R32241
R26035	P27	L51036
R64960	P33148	L205256
R8454	P27	R57489
R57101	compareContribution	R57093
R36152	P9041	L74626
R62807	P33130	L179759
R32024	P15491	L65376
R60488	P33137	L151938
R59863	P33085	L145369
R66143	P33146	L219450
R56288	P33008	L113974
R65437	P33152	L210984
R30237	P15343	R30233
R29238	P31	R29239
R56842	P31023	L118840
R57593	P9040	L124328
R66222	P33148	L220400
R57260	P31024	L122767
R65780	P33145	L215093
R44055	P18023	R44056
R61038	P33133	L158534
R64439	P33141	L199018
R61457	P33133	L163562
R58002	compareContribution	R57762
R49212	TemplateComponent	R49218
R57933	P27	L128068
R50175	contains	R50169
R64096	P33151	L194912
R60848	P33131	L156252
R63172	P33129	L184138
R60321	P33139	L149936
R62874	P33135	L180568
R65773	P33142	L215006
R65713	P33141	L214285
R56753	P33009	L118023
R56086	P15068	L112312
R63617	P33140	L189489
R52279	contains	R52272
R50641	hasContent	L92791
R66659	P33146	L225642
R38903	P31	R38905
R8646	P4053	R8649
R64734	P33148	L202565
R63465	P33137	L187662
R60940	P33132	L157357
R29084	P15326	L59035
R62247	P33138	L173047
R58628	P33041	L133649
R65516	P33149	L211929
R66845	P33144	L227872
R64407	P33146	L198639
R49594	TemplateComponentOccurrenceMax	L90921
R67278	P33145	L233069
R61627	P33133	L165602
R56800	P15068	L118463
R6145	P26	L4197
R54645	P15068	L106125
R61700	P33138	L166483
R23401	P26016	L45507
R30658	P27	L61408
R54332	P27	L103089
R28112	P15265	L56603
R59820	P33064	L145210
R25629	compareContribution	R25618
R43030	P22013	L81504
R60221	P33139	L148736
R52137	P30003	L96107
R62571	P33140	L176937
R56770	P30	R50
R67031	P33146	L230106
R59223	P33046	L139604
R63667	P33133	L190082
R34447	P32	R34431
R6675	P2006	R6556
R25710	P30	R11
R64986	P33144	L205564
R67810	P24007	L237394
R55124	P27030	L110061
R61000	P33135	L158080
R65180	P33152	L207900
R62344	P33133	L174206
R9498	P30	R136
R8735	P26	L8747
R32892	P15533	L68047
R65715	P33148	L214316
R61626	P33129	L165586
R27736	P15255	R27732
R4988	P17	R4991
R69297	P29	L239676
R67527	P33148	L236060
R62500	P33135	L176080
R67335	P33147	L233755
R52252	TemplateComponentOccurrenceMax	L96393
R56922	P33008	L119565
R65574	P2005	R63783
R65992	P33145	L217637
R36143	P27	L74589
R66978	P33151	L229475
R62346	P33131	L174228
R62715	P33132	L178657
R60995	P33139	L158024
R62122	P33134	L171543
R54764	P32119	L107296
R54594	P30002	L105613
R32871	compareContribution	R32721
R66526	P33145	L224045
R57249	P27030	R49274
R60043	P33113	L147098
R28943	P31	R28944
R6725	P27	L5189
R31234	P28	L62653
R66092	P33143	L218835
R62789	P33130	L179543
R62663	P33130	L178031
R61715	P33133	L166658
R67552	P33152	L236364
R25312	P32	R25259
R30423	P15344	R30419
R54070	HAS_VENUE	R1012
R62771	P33140	L179337
R58528	P33041	L132649
R57959	P30	R50
R63758	P33129	L191170
R59191	P33050	L139288
R9171	P4015	R9170
R57750	P32	R57587
R59664	P33043	L144011
R70360	P32	R70363
R33056	P15585	L69354
R58452	P33042	L131890
R65368	P33151	L210155
R65884	P33151	L216347
R25104	P15008	L46266
R58899	P33049	L136367
R27819	P27	L56079
R67184	P33144	L231940
R60659	P2005	R60165
R54321	P30004	L102988
R32294	P15509	L65881
R54244	compareContribution	R54183
R9303	P7167	R9304
R25018	HAS_VENUE	R25019
R60047	P33103	L147136
R49026	TemplateComponentOccurrenceMax	L90031
R61698	P33129	L166450
R61022	P33133	L158342
R64330	P33147	L197716
R70008	P27	L241647
R56177	P27030	L113042
R58590	P33046	L133274
R30914	compareContribution	R30893
R32701	P26	L66968
R66065	P33145	L218513
R25199	P27	L46577
R61394	P33132	L162805
R64708	P33152	L202257
R66552	P33149	L224361
R26014	P15106	L50863
R30333	P15343	R29366
R8048	P29	L8071
R54189	P27030	L101727
R61321	P33133	L161930
R57636	P32	R57587
R63216	P33137	L184674
R61760	P33139	L167204
R46672	P27	L241958
R56429	P27030	L115123
R49425	P7037	R49474
R32142	P30	R11
R67285	P33141	L233149
R60952	P33137	L157506
R27235	compareContribution	R27181
R2000	P29	R2005
R31967	P15471	L64966
R70707	P30022	L242988
R54755	P27	L107216
R31469	P32	R31303
R25334	P31	R25335
R50397	P27	L92481
R66402	P33151	L222563
R61632	P33136	L165665
R67584	P33152	L236748
R62008	P2005	R60165
R60054	P33106	L147223
R57778	P33036	L126325
R70567	P3004	L242556
R63479	P33137	L187830
R26980	P28	L53704
R58910	P33044	L136472
R61238	P33136	L160937
R44450	P27	L82527
R8731	P32	R8583
R63435	P2005	R60165
R59990	P33100	L146761
R44825	P31	R44828
R59417	P33043	L141541
R64204	P33143	L196200
R64995	P33149	L205677
R51032	hasContent	L94037
R60154	P33128	L148203
R54360	P27	L103349
R31489	P26	L239855
R69630	P30	R133
R28689	HAS_APPROACH	R28700
R30590	P27	L61130
R70683	P27	L242975
R26262	compareContribution	R26259
R63839	P33149	L191826
R56346	P33009	L114445
R65072	P33147	L206599
R60988	P33138	L157939
R66912	P33151	L228683
R61207	P33134	L160563
R62981	P2005	R60165
R60795	P33129	L155614
R51525	P4008	R51526
R67209	P33144	L232240
R63997	P33148	L193721
R65164	P33143	L207699
R67131	P33149	L231309
R57713	P31023	L125620
R56662	P27	L117194
R62839	P2005	R60165
R66605	P33147	L224995
R56652	P27	L117100
R46076	P26	L86050
R67123	P2005	R63783
R61320	P2005	R60165
R66145	P33150	L219478
R57356	P27	L123640
R62622	P2005	R60165
R61643	P33136	L165797
R61248	P33134	L161055
R27948	P15072	L56279
R64720	P33143	L202392
R59563	P33050	L143008
R67286	P33142	L233162
R63734	P2005	R60165
R59821	P33064	L145222
R51311	HAS_ORCID	L94460
R62159	P33132	L171985
R56889	HAS_VENUE	R1012
R6157	P5001	R6004
R62541	P2005	R60165
R39013	P4017	R38918
R30295	P30	R11
R6361	P15	R6363
R64495	P2005	R63783
R66706	P33151	L226211
R68876	P31	R68879
R65028	P33150	L206074
R44922	P23142	R44923
R9222	P7144	R9233
R57501	compareContribution	R57120
R62938	P2005	R60165
R67328	P33150	L233674
R61614	P2005	R60165
R65931	P33152	L216912
R69635	P31	R69636
R59579	P2005	R58159
R32015	P15492	L65312
R62466	P33135	L175672
R60525	P33135	L152380
R58086	P29	L129013
R9587	HAS_IMPLEMENTATION	R9599
R27354	P27	L54650
R34331	P27	L72147
R60944	P33134	L157407
R25706	P31	R25707
R65412	P33150	L210682
R63138	P33140	L183741
R62560	P33132	L176797
R45121	P32	R45097
R54715	P29	L106820
R67127	P33144	L231256
R27375	P32	R27280
R57785	P27	L126408
R64501	P33150	L199771
R65354	P33141	L209977
R27352	P15207	L54643
R65045	P33150	L206278
R67606	P33144	L237004
R64992	P33151	L205643
R64593	P33145	L200870
R29183	P32	R29113
R27151	P27	L54030
R44498	P23128	L82811
R64137	P33152	L195405
R27274	P28	L54429
R30017	P15345	R30003
R62932	P33139	L181268
R54184	HAS_VENUE	R1012
R66350	P33143	L221931
R57501	compareContribution	R57186
R54507	P31005	L104768
R62760	P33140	L179205
R58564	P33047	L133015
R46612	P25062	L87710
R64828	P33141	L203665
R67105	P33152	L231000
R69027	compareContribution	R69019
R29039	P27	L58898
R63363	P33139	L186440
R60629	P33130	L153623
R56567	P27	L116293
R63456	P33129	L187546
R62774	P2005	R60165
R60920	P33132	L157117
R56207	P27	L113302
R54189	P32	R54013
R29734	P15343	R29366
R46150	P31	R46151
R4960	P32	R4961
R25781	P31	R25782
R32463	P32	R32426
R68282	P31	R68804
R57949	P32	R57587
R57392	P30001	L123988
R69677	P32	R69645
R66713	P33149	L226293
R60594	P33134	L153207
R69680	compareContribution	R69638
R63743	P33135	L190996
R57697	P15068	L125468
R58094	HAS_VENUE	R50701
R41002	P32	R41001
R54631	P29012	L105975
R65612	P33144	L213076
R53279	P31	R53280
R61732	P33132	L166861
R62723	P33132	L178753
R62020	P33137	L170322
R56233	P30	R50
R54687	P32119	L106532
R34393	P15645	L72356
R33979	P15620	R33974
R56189	P30004	L113147
R58002	compareContribution	R57749
R32869	P27	L67712
R28523	reference	L57384
R33426	P27	L69768
R49037	P26002	R49038
R66213	P33142	L220286
R44204	P23036	R44205
R69051	HAS_RESULTS	R69048
R63505	P33136	L188141
R54143	P31005	L101287
R66522	P33142	L223994
R66868	P33144	L228148
R4258	P27	L236
R61787	P2005	R60165
R33564	P31	R33565
R65117	P33151	L207143
R61567	P33137	L164886
R4249	P4043	L3099
R60808	P33130	L155771
R57636	P30004	L124776
R27967	P27	L56301
R57944	P33037	L128190
R59455	P33048	L141926
R56619	P32	R56530
R61113	P33137	L159438
R32923	P15557	L68542
R62913	P33129	L181030
R59178	P2005	R58159
R63419	P33140	L187113
R56419	P30001	L115045
R57651	P33036	L124931
R11010	P30	R234
R65874	P33148	L216224
R66904	P33147	L228583
R68481	url	L238603
R27863	P15259	R27848
R29543	P27	L59803
R4796	P27	L363
R62802	P33137	L179706
R62325	P33134	L173979
R58906	P33046	L136434
R65772	P33150	L215002
R59980	P33095	L146636
R70583	P15051	L242687
R23312	P27	L45119
R62669	P33136	L178109
R28097	P26	L241775
R67485	P33144	L235552
R66510	P33145	L223853
R61384	P33130	L162683
R62871	P2005	R60165
R318	P36	R327
R63746	P33129	L191026
R67321	P2005	R63783
R66405	P2005	R63783
R67409	P33144	L234640
R60339	P2005	R60165
R61641	P33140	L165777
R60743	P33139	L155000
R59092	P33044	L138292
R23465	P7120	L45732
R63050	P33134	L182679
R63127	P33138	L183607
R34328	P26	L72124
R65040	P33142	L206210
R56315	P27	L114198
R32673	P15523	L66850
R68454	P34015	R68452
R64542	P33151	L200264
R38883	P16017	L88136
R27909	P30	R11
R63665	P33130	L190055
R63592	P33131	L189180
R54107	P32001	L100936
R67320	P33151	L233579
R62951	P33134	L181491
R67386	P33146	L234366
R26450	P26	L52506
R69704	P27	L240944
R57724	P33036	L125739
R62643	P33132	L177793
R54894	HAS_EVALUATION	L108369
R64200	P2005	R63783
R63261	P33131	L185208
R65538	P33151	L212195
R67187	P33144	L231976
R28829	P15293	R28617
R59285	P33042	L140220
R66941	P33147	L229027
R66881	P2005	R63783
R375	P36	R471
R31719	P27	L63822
R65048	P33143	L206307
R58868	P33049	L136057
R62484	P33130	L175883
R44788	P15699	L83794
R69154	P27	L239296
R30397	P30	R11
R34060	P27	L71302
R23423	P29	L45553
R59347	P33041	L140839
R25321	P15041	R25257
R8717	P26028	R8797
R56945	compareContribution	R56932
R29014	P15320	L58818
R63246	P33140	L185037
R67316	P33145	L233525
R59879	P33084	L145608
R60810	P33129	L155794
R65522	P2005	R63783
R34659	P15676	L73237
R66745	P33152	L226680
R66562	P33147	L224479
R65984	P33147	L217543
R58294	P33044	L130312
R4549	P1006	L3312
R55145	P30001	L110247
R27929	METHOD	R27845
R61921	P33140	L169137
R63751	P33132	L191089
R54110	P28	L100969
R33085	P15588	L69553
R56870	P31023	L119095
R54150	P31	R54151
R66192	P33150	L220042
R65470	P33150	L211378
R66364	P2005	R63783
R31883	P32	R31811
R64741	P33146	L202647
R58198	P33043	L129351
R68002	P26	L238000
R194	P36	R230
R61387	P33129	L162718
R27385	P15215	L54785
R65943	P33147	L217051
R33344	P15592	R33336
R62543	P33134	L176595
R30162	P15239	R29521
R27639	P15238	L55670
R63719	P33131	L190704
R61258	P33138	L161179
R61383	P33130	L162671
R28093	P31	R28094
R65830	P33141	L215689
R64971	P33143	L205383
R43037	compareContribution	R43028
R25320	P28	L47218
R34714	P15686	L73400
R46615	P27	R70400
R65509	P33141	L211837
R58682	P33044	L134192
R62362	P33130	L174419
R33238	P15591	R33225
R65637	P2005	R63783
R32921	P32	R32915
R25923	P31	R25924
R32714	P31	R32715
R69808	P32	R69858
R30479	P15350	L60619
R59878	P33080	L145589
R63443	P33135	L187396
R27196	P15187	L54145
R46075	P32	R45097
R57807	P32	R57587
R54320	P27	L102974
R25232	P15028	L46721
R59676	P33047	L144135
R61330	P2005	R60165
R58207	P33045	L129443
R26209	P31	R26210
R65435	P33148	L210956
R58492	P33048	L132296
R65427	P33151	L210863
R62963	P33138	L181639
R57523	HAS_VENUE	R50805
R65622	P33147	L213199
R43019	P22053	L81233
R6351	P32	R6227
R49556	TemplateComponentOccurrenceMax	L90838
R25751	P15080	L49026
R62853	P33136	L180317
R48257	P27	L89343
R66678	P33143	L225867
R66601	P2005	R63783
R56036	P27	R58000
R64676	P33151	L201872
R60891	P33130	L156767
R25869	P15085	L49905
R27604	P27	L55567
R58537	P33049	L132747
R63150	P2005	R60165
R46545	P25061	L87405
R6140	P2005	R6092
R48360	P26009	L89639
R60989	P33135	L157948
R59029	P2005	R58159
R61746	P33136	L167033
R54811	P32118	L107763
R65978	P33146	L217470
R56777	P15068	L118251
R64055	P2005	R63783
R63826	P33143	L191664
R59456	P33046	L141934
R65354	P33149	L209985
R62424	P33135	L175168
R66198	P2005	R63783
R61990	P33140	L169965
R63048	P33135	L182656
R53000	P26	L97000
R25659	P31	R25660
R60945	P33137	L157422
R63430	P33139	L187244
R59933	P5103	L146205
R60337	P33135	L150124
R58810	P33041	L135469
R26709	P15167	L53054
R67144	P33143	L231459
R64064	P33152	L194529
R26011	P15105	L50822
R29198	P28	L59271
R54775	P32119	L107402
R54165	P9040	L101492
R27952	P27	L56280
R6435	P5026	L4696
R66467	P33144	L223336
R56944	P31023	L119768
R69822	contains	R69834
R60737	P33138	L154927
R66241	P33144	L220624
R64203	P33141	L196186
R66609	P2005	R63783
R8622	P4053	R8881
R58849	P33046	L135864
R25299	P15044	L47099
R61766	P33132	L167269
R65155	P33146	L207594
R31714	P15440	L63759
R57402	P31023	L124079
R8104	HAS_METHOD	R8107
R59700	P33045	L144373
R62944	P33132	L181405
R59983	P33096	L146673
R66325	P33143	L221631
R34709	P31	R34752
R65721	P33150	L214390
R52193	TemplateComponentOrder	L96276
R28180	P15269	R28154
R25098	P32	R25094
R48448	TemplateComponentOccurrenceMin	L89862
R31706	P15448	L63624
R65059	P33150	L206446
R60319	P33129	L149902
R66544	P33151	L224267
R54700	P31023	L106669
R58612	P33049	L133497
R29852	P15340	L60050
R60981	P33133	L157850
R54342	P28	L103183
R54050	P29	L100389
R58887	P33042	L136240
R67270	P33151	L232979
R25921	P31	R25922
R46367	P23049	R46368
R63267	P33138	L185287
R62130	P33134	L171639
R62046	P33135	L170632
R61653	P33135	L165916
R49004	url	L90007
R60550	P33139	L152684
R64166	P33151	L195752
R65021	P33146	L205986
R67243	P33148	L232652
R6179	P5004	R6114
R64401	P33150	L198571
R36123	P27	L74488
R43000	P28	L81006
R44952	P32	R44946
R32678	P32	R32545
R58812	P33046	L135494
R65729	P33141	L214477
R54199	P32001	L101830
R65836	P33143	L215763
R26757	P27	L53182
R33038	P15586	L69253
R34213	P26	L71840
R48325	P26007	L89533
R26792	P32	R26777
R66093	P33148	L218852
R59823	P33073	L145255
R57910	P30001	L127801
R63633	P33136	L189677
R54856	P29012	L108207
R66457	P33147	L223219
R63388	P2005	R60165
R32908	P15550	L68310
R66701	P33142	L226142
R30333	P15239	R27125
R29332	P31	R29333
R62566	P33140	L176877
R65005	P33149	L205797
R50531	P30	R69
R54394	P27030	L103681
R67623	P30	R69
R31135	P32	R30740
R61515	P33137	L164262
R55009	P27	L108997
R28817	P30	R11
R34448	P31	R34449
R59008	P33046	L137454
R61218	P33136	L160697
R60453	P33131	L151512
R32990	P27	L68999
R66109	P33141	L219037
R32652	P15517	R32570
R57982	P27	L128610
R32635	P29	L66684
R60954	P33138	L157531
R58310	P33045	L130473
R65963	P2005	R63783
R51374	P18068	R51230
R25334	P27	L47284
R69091	P27	L239259
R51370	TemplateComponentOrder	L94538
R60216	P33133	L148670
R65112	P2005	R63783
R69654	P34080	R69550
R62650	P33130	L177875
R64504	P33147	L199804
R57216	P27	L122331
R62607	P33136	L177365
R31978	P15485	L65046
R28383	P29	L57163
R62135	P33140	L171705
R25946	P29	L50416
R59521	P33050	L142588
R54256	P29012	L102362
R32871	compareContribution	R32695
R61604	P33139	L165332
R6231	P5010	L4287
R43024	P27	L81373
R59806	P2005	R59756
R63372	P33132	L186541
R67173	P33145	L231809
R60391	P33138	L150775
R59965	P33098	L146459
R64976	P33149	L205449
R69193	P34045	R69118
R62949	P33129	L181462
R59984	P33095	L146684
R66216	P33152	L220332
R59004	P33046	L137414
R57640	P15068	L124817
R60797	P33134	L155643
R54038	P29	L100272
R12216	P32	R12217
R44458	P28	L82594
R54715	P28	L106819
R63468	P33135	L187696
R64289	P33148	L197225
R58694	P33042	L134310
R64514	P33150	L199927
R63089	P33130	L183143
R60984	P33140	L157893
R62953	P33136	L181517
R53338	P30001	L98661
R63473	P33132	L187753
R60029	P33103	L146920
R34679	P15680	L73305
R66732	P33147	L226519
R27394	P30	R11
R6182	P27	L4264
R62332	P33139	L174068
R54033	P31005	L100218
R56360	P30002	L114563
R66215	P2005	R63783
R28848	P29	L58338
R60889	P33134	L156747
R53110	P28	L97128
R64022	P33142	L194015
R63511	P33132	L188209
R61435	P33134	L163299
R69477	P27	L240113
R67298	P33142	L233306
R32914	compareContribution	R32910
R62769	P33132	L179305
R63514	P33129	L188242
R46120	P32	R45097
R62051	P2005	R60165
R54123	P30001	L101089
R57744	P31024	L125963
R63674	P2005	R60165
R62609	P33139	L177392
R26468	P28	L52557
R68764	contains	R68759
R65351	P33147	L209947
R65490	P33149	L211617
R68423	P34015	R68424
R48147	P7066	R48162
R60471	P33140	L151737
R60359	P33138	L150391
R30422	P28	L60527
R32111	P26	L239883
R60802	P33135	L155704
R58621	P33050	L133588
R32499	P29	L66222
R59372	P33048	L141096
R31493	P29	L63053
R67057	P2005	R63783
R56641	P33010	L117003
R23425	P26032	L45593
R67570	P33150	L236578
R6130	P2005	R6065
R62804	P33131	L179724
R32924	P26	L68555
R61656	P33134	L165951
R50586	HAS_RESULTS	R50588
R25707	P5027	L48751
R56716	P27	L117691
R62011	P33138	L170215
R67455	P33145	L235193
R43030	P22054	L81536
R53125	P29	L97147
R57995	P33038	L128762
R54149	P27030	L101334
R31986	P15485	L65102
R28487	compareContribution	R28479
R55116	P30001	L109982
R32443	P15513	L66051
R51038	contains	R51032
R44099	P27	L82172
R49614	TemplateComponentOccurrenceMin	L90976
R54156	P27	L101403
R66539	P33141	L224197
R65581	P2005	R63783
R68730	P30	R69
R57082	P32	R56946
R57740	P29	L125921
R66951	P33145	L229145
R65038	P33150	L206194
R31077	compareContribution	R30976
R70497	HAS_ORCID	L242201
R53366	P30	R50
R57225	P27	L122418
R25567	P29	L48220
R63336	P33140	L186117
R56302	P31005	L114094
R57590	P28	L124304
R59216	P33048	L139536
R62428	P33134	L175215
R29129	P29	L59093
R62248	P33132	L173053
R63143	P33140	L183801
R56927	P31	R56928
R8226	P28	L241879
R62825	P2005	R60165
R56300	P30002	L114077
R26988	P32	R26777
R61936	P33135	L169312
R56495	P31024	L115663
R64999	P33141	L205717
R52060	P27	L95478
R65967	P33151	L217343
R56564	P30004	L116266
R33144	P31	R33145
R65000	P33147	L205735
R31755	P27	L64109
R60707	P2005	R60165
R9455	P7206	L9074
R59209	P33047	L139465
R57454	P7074	L124128
R60504	P33136	L152129
R62342	P33140	L174189
R57126	P27	L121486
R58279	P33047	L130165
R61196	P33139	L160436
R66494	P33149	L223665
R67012	P33142	L229874
R53428	HAS_ORCID	L99126
R60677	P33131	L154200
R60802	P33132	L155701
R64692	P33143	L202056
R31682	P32	R25028
R62688	P33134	L178335
R50090	P27	L92160
R61980	P2005	R60165
R66863	P33148	L228092
R65564	P33144	L212500
R66250	P33148	L220736
R65471	P33143	L211383
R26778	P27	L53235
R8161	P7019	L8103
R38906	P15195	R39118
R33477	P15592	R33380
R64549	P33152	L200349
R61462	P33136	L163625
R58520	P33046	L132574
R66474	P33144	L223420
R6809	P5075	L5369
R65388	P33141	L210385
R64653	P33146	L201591
R30104	P15343	R30096
R30140	P15343	R29513
R64306	P33150	L197431
R25573	P31	R25574
R63390	P33132	L186757
R69027	url	L239184
R54537	P29	L105058
R49025	TemplateComponentOccurrenceMin	L90027
R59228	P33046	L139654
R33640	P15601	L70054
R38968	P5049	R38967
R25949	P27	L50428
R57019	P32	R56946
R65968	P33143	L217347
R61605	P33136	L165341
R40002	TemplateComponentOccurrenceMin	L78005
R55020	P30002	L109096
R56204	P30002	L113277
R67303	P33151	L233375
R61096	P33131	L159228
R66012	P33142	L217874
R54143	P30001	L101284
R33171	P27	L69617
R63811	P33143	L191484
R64182	P33143	L195936
R60731	P33140	L154857
R65528	P33146	L212070
R34103	P15627	R34100
R30805	P27	L62004
R66870	P33144	L228172
R68016	P27	L238048
R56835	P29	L118780
R56739	P30004	L117904
R61057	P33136	L158765
R58521	P2005	R58159
R26184	P28	L51854
R55062	P32	R54953
R30702	P30	R11
R60061	P33102	L147303
R63984	P33150	L193567
R30765	P27	L61770
R64483	P33147	L199552
R55104	P31024	L109888
R32488	P15512	R32431
R59482	P33041	L142189
R31124	P32	R30740
R25886	P31	R25887
R32500	P15512	R32431
R29204	P15072	L59293
R66771	P33146	L226986
R30929	P32	R30740
R65618	P33146	L213150
R66794	P33146	L227262
R68505	P34016	R68328
R46617	P27	L242029
R56615	P33008	L116745
R59127	P33045	L138643
R29742	P15239	R27493
R59681	P33046	L144184
R32689	P27	L66911
R62505	P33139	L176144
R57951	P30004	L128276
R30593	P15370	R30582
R36117	P9041	L74454
R60700	P33130	L154475
R58698	P33048	L134356
R58395	P33047	L131325
R67091	P2005	R63783
R61515	P33138	L164263
R67846	P29	L237489
R52310	compareContribution	R44828
R62692	P33130	L178379
R66611	P33146	L225066
R30917	P15388	R30828
R57992	P27	L128721
R53189	P31006	L97510
R38999	P32	R38921
R8713	P27	L8724
R64372	P33146	L198219
R65661	P33152	L213672
R49420	P7037	R49474
R32831	P15517	R32570
R25229	P30	R11
R56198	P31005	L113229
R67438	P33152	L234996
R58689	P33047	L134265
R32902	P15536	L68217
R25840	P27	L49704
R64770	P33149	L202998
R51008	HAS_ORCID	L94009
R34415	P31	R34416
R61152	P33135	L159904
R66487	P33151	L223583
R57888	P27030	R49274
R66041	P33142	L218222
R30152	P15345	R30149
R44233	P23103	R46681
R64151	P33147	L195568
R61410	P33135	L163000
R54734	P27	L107019
R26209	P26	L51888
R38877	P16017	L88101
R65948	P33151	L217115
R32484	P27	L66172
R27300	P27	L54498
R65739	P33144	L214600
R64995	P33146	L205674
R63406	P33135	L186952
R60482	P33137	L151866
R59096	P2005	R58159
R28996	P27	L58695
R67414	P33148	L234704
R60585	P33129	L153094
R54327	P15068	L103047
R57252	P27	L122686
R59565	P33043	L143021
R59884	P33086	L145685
R54381	P31024	L103557
R64708	P33144	L202249
R63343	P33138	L186199
R58279	P33046	L130164
R67653	HAS_ORCID	L237175
R25661	P27	L48554
R62281	P33131	L173448
R66542	P33146	L224238
R63405	P33137	L186942
R53162	P31	R53164
R23499	P27	L45857
R63998	P33152	L193737
R59329	P33046	L140664
R25104	P1009	L46263
R63133	P33140	L183681
R63359	P33134	L186387
R58946	P33042	L136830
R60283	P33137	L149478
R33053	P15585	L69341
R25709	P15075	L48773
R66368	P33146	L222150
R61836	P33129	L168106
R34169	P15636	L71711
R63702	P33136	L190505
R29221	P28	L59361
R28543	P15283	R28541
R60842	P33135	L156184
R34348	P15647	R30827
R61931	P33140	L169257
R61961	P33137	L169614
R61436	P33134	L163311
R55219	compareContribution	R55089
R61134	P33139	L159692
R25342	P15038	L47320
R59666	P2005	R58159
R66292	P33150	L221242
R60981	P33132	L157849
R39082	compareContribution	R39051
R69617	P31	R69618
R27902	P27	L56191
R61881	P33139	L168656
R58541	P33041	L132779
R54822	HAS_VENUE	R1012
R12237	P27	L12256
R26190	P15141	R26147
R62954	P33139	L181532
R46081	P25006	L86091
R64724	P33149	L202446
R56697	P31023	L117518
R64958	P33152	L205236
R55021	P30	R50
R60700	P33134	L154479
R28119	P27	L56620
R52039	P30001	L95308
R26392	P15152	L52295
R23354	P32	R9223
R34106	P15625	L71373
R63187	P33135	L184324
R69059	HAS_METHOD	R50394
R66129	P33141	L219277
R50673	P27	R50676
R66439	P2005	R63783
R59543	P33049	L142807
R68282	P31	R68834
R44483	P31	R44484
R53364	P30002	L98826
R54681	P31024	L106482
R6631	P2006	R6556
R25465	P27	L47676
R26202	P15143	R25257
R44884	P15700	L84130
R62742	P2005	R60165
R62874	P33133	L180566
R67244	P33151	L232667
R66590	P33151	L224819
R64703	P33143	L202188
R25816	P27	L49507
R56638	P28	L116970
R27808	P31	R27809
R29677	P15343	R29657
R68067	P25059	L238179
R60705	P33136	L154541
R67320	P33150	L233578
R30635	P15371	L61347
R58465	P2005	R58159
R44121	P15411	L86862
R48028	P27	L89083
R56463	P31024	L115404
R54270	P32	R54245
R31881	P27	L64589
R59875	P33079	L145543
R61223	P33135	L160756
R57966	P30	R50
R55094	P31024	L109789
R59208	P33047	L139455
R59385	P33043	L141221
R66184	P33143	L219939
R30393	P26	L60494
R63208	P33137	L184578
R54368	P27	L103425
R64617	P33151	L201164
R60358	P33132	L150373
R55018	P31024	L109079
R59371	P2005	R58159
R69221	TemplateComponentOccurrenceMin	L239401
R28257	P30	R11
R62195	P33137	L172422
R67326	P2005	R63783
R61729	P33135	L166828
R31183	P15409	L62481
R53293	P15068	L98382
R59083	P33046	L138204
R66919	P33142	L228758
R70069	P29007	R51223
R23500	P32	R9223
R43030	P22007	L81546
R26032	P15118	L51005
R67482	P33152	L235524
R63366	P33131	L186468
R65474	P33142	L211418
R63372	P33134	L186543
R65202	P33146	L208158
R32172	P15502	L65711
R67490	P33145	L235613
R36067	P16016	L74147
R31694	P15303	L63446
R27200	P31	R27201
R25833	P15083	L49661
R28055	P30	R11
R66236	P33142	L220562
R68279	TemplateComponentOccurrenceMin	L238490
R65763	P33142	L214886
